claimamt,vehage,CC,Length,Weight
32400.0,8,1495,4250,1023
36000.0,5,1061,3520,825
51592.8,4,1086,3565,854
90912.0,0,1405,3675,980
88452.0,6,1596,4018,1140
28080.0,9,993,3495,875
64800.0,2,1405,3675,980
31190.4,7,1405,3675,980
83150.016,1,1405,3675,980
108000.0,1,2523,4260,1615
54673.92,5,1242,3827,990
83581.836,0,1086,3565,854
59530.8,2,1405,3675,980
24480.0,8,1061,3520,825
80251.2,1,1086,3565,854
68705.28,1,1193,3675,980
90000.0,5,2609,4325,1880
48000.0,3,796,3495,740
74640.0,2,1086,3565,854
67608.0,2,1086,3565,854
62208.0,1,1193,3675,980
34800.0,4,796,3495,740
79979.76,1,1405,3675,980
74832.0,2,1298,3695,1000
56640.0,3,1405,3675,980
96000.07199999999,2,1948,4505,1820
83972.64,0,1405,3675,980
108000.0,3,1343,4420,1100
62719.44,2,1405,3675,980
91200.0,1,1405,3675,980
52800.0,1,796,3495,740
55656.0,3,1086,3565,868
74748.0,1,1405,3675,980
40320.0,3,796,3495,740
55200.0,1,796,3495,740
46560.0,4,1086,3565,854
75604.32,6,1468,4290,1010
50868.0,1,1086,3565,854
103200.0,2,1948,4505,1820
30000.0,9,1298,4095,875
91200.0,4,1948,4505,1820
67668.0,1,1086,3565,854
52800.0,6,1495,4250,1023
58799.952000000005,3,1086,3565,854
54000.0,5,1800,4505,1820
31200.0,6,1086,3565,854
25200.0,5,796,3335,665
81599.952,2,1299,4140,978
30000.0,4,796,3335,665
47999.952000000005,3,1299,4140,978
26400.0,9,999,3565,854
108000.0,1,1405,4130,1105
64980.047999999995,2,1086,3565,854
59759.94,0,1086,3565,854
30720.0,7,999,3565,854
64788.0,7,1495,4250,1023
29748.0,7,998,3565,854
26400.0,6,796,3495,740
35724.0,9,999,3565,854
79570.8,0,1405,3675,980
45599.904,1,796,3495,725
72000.0,3,2500,4435,1585
100800.0,2,1405,4130,1105
34008.0,7,1405,3675,980
35424.0,9,1086,3565,854
41148.0,6,1086,3565,854
102015.744,1,1150,3880,1075
55392.0,0,796,3335,665
28800.0,4,796,3335,665
60000.0,5,1600,4505,1820
41445.12,2,796,3335,665
43200.0,5,1086,3565,854
64800.0,3,1298,4090,930
79214.304,0,1086,3565,868
90060.09599999999,1,1086,3565,854
55200.0,4,1405,3675,980
76365.18,0,995,3495,840
66946.08,2,1405,3675,980
46632.0,6,1086,3565,854
50400.0,5,1343,4420,1100
71952.0,2,1405,3675,980
108000.0,3,1497,4420,1100
43200.0,5,1061,3520,825
30480.0,5,796,3370,750
97680.0,1,1298,4095,875
38400.0,5,1086,3565,854
96000.07199999999,2,1298,3695,1010
68400.0,7,2446,4425,1470
24000.0,6,796,3370,750
44400.0,6,993,3495,875
69120.0,2,1405,3675,980
26400.0,6,796,3370,750
51599.856,2,796,3495,740
64800.0,7,2446,4425,1470
52800.047999999995,3,1405,3675,980
36000.0,7,1405,3675,980
48000.0,1,796,3495,740
72000.0,1,1086,3565,854
31200.0,6,1405,3675,980
60000.0,2,1500,3675,980
48000.0,6,1405,3675,980
71999.928,1,1086,3565,854
40800.0,4,1061,3520,825
54264.0,2,1450,3675,980
96000.07199999999,2,1399,4282,1150
68400.0,3,1298,4095,875
63600.192,3,1405,3675,980
90000.0,3,1800,4425,1470
47520.0,6,1061,3520,830
69599.952,3,2609,4325,1880
40320.0,7,993,3495,875
64800.0,3,1948,4505,1820
72000.0,1,1061,3520,825
38400.0,1,796,3335,665
54994.08,4,1405,4150,1070
41640.0,5,1061,3520,825
75120.0,3,1497,4420,1100
96900.0,0,1461,4247,1140
80376.0,1,1405,3675,980
26400.0,6,796,3335,665
73343.52,3,1086,3565,854
43200.0,4,1086,3565,854
31200.0,6,993,3495,875
88799.92800000001,2,2523,4210,1575
57360.0,1,1405,3675,980
36000.0,9,1948,4505,1820
46800.0,4,1086,3565,854
36000.0,8,2446,4425,1470
103200.0,1,1298,4095,875
48000.0,3,993,3495,875
24000.0,6,993,3495,875
67680.0,2,1086,3565,854
64800.0,3,1995,4325,1200
48000.0,5,1086,3565,854
67200.0,2,1405,3675,980
36180.0,7,1405,3675,980
81098.64,1,1405,3675,980
83999.95199999999,3,2523,4260,1615
48000.0,4,796,3495,740
73062.0,10,1497,4420,1100
62400.0,2,1086,3565,854
66435.36,2,1086,3565,854
83482.08,1,1405,3675,980
71992.8,1,1405,3675,980
37800.0,7,1299,4140,978
